case,policy,step,time,agent_x,agent_y,agent_yaw,obs_x,obs_y,obs_dist_2d,goal_dist_2d,raw_x,raw_y,raw_z,safe_x,safe_y,safe_z,cmd_x,cmd_y,world_cmd_x,world_cmd_y
front_oncoming,author,0,0.0,0.0878636121749878,0.014858996868133545,0.0,2.0,0.0,1.9121941207504045,4.9121588616801155,0.8785796165466309,0.14911258220672607,0.18550968170166016,0.8786361217498779,0.14858996868133545,0.0,0.8786361217498779,0.14858996868133545,0.8786361217498779,0.14858996868133545
front_oncoming,author,1,0.1,0.17554891109466553,0.029551786184310914,-0.0009074839996173978,1.9,0.0,1.724704283665312,4.824541596598225,0.8768529891967773,0.14692789316177368,0.18683791160583496,0.8768529891967773,0.14692789316177368,0.0,0.8768529891967773,0.14692789316177368,0.8768529891967773,0.14692789316177368
front_oncoming,author,2,0.2,0.263057017326355,0.04406024515628815,-0.0018678522366098794,1.8,0.0,1.5375744005390413,4.737147889427173,0.8750579357147217,0.14560914039611816,0.18888390064239502,0.8750810623168945,0.14508458971977234,0.0,0.8749490400646962,0.1458786519326467,0.8750810623168948,0.14508458971977234
front_oncoming,author,3,0.30000000000000004,0.3501006066799164,0.05841540992259979,-0.002611181196523793,1.7,0.0,1.35116273342716,4.6502663072253085,0.8700716495513916,0.14403404295444489,0.1890864372253418,0.870435893535614,0.14355164766311646,0.0,0.8701662420061138,0.14517724193170045,0.8704358935356139,0.14355164766311646
front_oncoming,author,4,0.4,0.4365594208240509,0.07260379046201705,-0.0036062694291350895,1.6,0.0,1.165703775263133,4.5640181014166865,0.8642791509628296,0.1422988772392273,0.18868780136108398,0.8645881414413452,0.14188380539417267,0.0,0.8642147100427925,0.1441409154257838,0.8645881414413451,0.14188380539417264
front_oncoming,author,5,0.5,0.5224846065044403,0.086565300822258,-0.0048364960432122125,1.5,0.0,0.9813408662779854,4.478352113255069,0.859251856803894,0.13961510360240936,0.18902575969696045,0.859251856803894,0.13961510360240936,0.0,0.8587427808591248,0.14271288273028557,0.859251856803894,0.13961510360240936
front_oncoming,author,6,0.6000000000000001,0.6078598439693451,0.10034214407205583,-0.006285939062840029,1.4,0.0,0.7984701451358387,4.393286206940536,0.8534795641899109,0.13839752972126007,0.1879568099975586,0.8537523746490479,0.1377684324979782,0.0,0.8530760754304256,0.14189597506645812,0.8537523746490479,0.13776843249797824
front_oncoming,author,7,0.7000000000000001,0.6927008628845215,0.11402029395103455,-0.007941532048767463,1.2999999999999998,0.0,0.6179100819487289,4.308808011971342,0.8481561541557312,0.13735821843147278,0.1864030361175537,0.8484101891517639,0.1367814987897873,0.0,0.8475336330742599,0.14211181610147083,0.8484101891517639,0.13678149878978726
front_oncoming,author,8,0.8,0.7770482718944549,0.1274977758526802,-0.00979390218542724,1.2,0.0,0.4417508881200435,4.2248759722336215,0.8429787158966064,0.13579177856445312,0.18535006046295166,0.8434740900993347,0.1347748190164566,0.0,0.84237718486199,0.141468975163489,0.8434740900993346,0.1347748190164566
front_oncoming,author,9,0.9,0.8608881533145905,0.14079581201076508,-0.012205728235785208,1.1,0.0,0.27748501924442254,4.14150580586956,0.8381644487380981,0.13348107039928436,0.18536579608917236,0.8381644487380981,0.13348107039928436,0.0,0.8370562288647345,0.1411850485680421,0.8383988142013549,0.1329803615808487
front_oncoming,author,10,1.0,0.9442373931407928,0.15386198461055756,-0.014385439091572794,1.0,0.0,0.1636550599035482,4.058680060500666,0.8334923982620239,0.1306617259979248,0.18594372272491455,0.8334923982620239,0.1306617259979248,0.0,0.8318355303474143,0.1408251222366695,0.8334923982620238,0.13066172599792483
front_oncoming,author,11,1.1,1.0270711421966552,0.16667692065238954,-0.016738740027233634,0.8999999999999999,0.0,0.20959072273677942,3.9764236324924878,0.828061044216156,0.12856343388557434,0.18562304973602295,0.8283374905586243,0.1281493604183197,0.0,0.8264083623636916,0.14005168851514987,0.8283374905586243,0.12814936041831973
